,Rank,State or union territory,Population,Decadal growth,Rural population,Urban population,Area,Density,Sex ratio
0,1,Uttar Pradesh,"199,812,341",20.20%,"155,317,278","44,495,063","240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912
1,2,Maharashtra,"112,374,333",20.00%,"61,556,074","50,818,259","307,713 km2 (118,809 sq mi)",365/km2 (950/sq mi),929
2,3,Bihar,"104,099,452",25.00%,"92,341,436","11,758,016","94,163 km2 (36,357 sq mi)","1,102/km2 (2,850/sq mi)",918
3,4,West Bengal,"91,276,115",13.80%,"62,183,113","29,093,002","88,752 km2 (34,267 sq mi)","1,029/km2 (2,670/sq mi)",953
4,5,Madhya Pradesh,"72,626,809",16.30%,"52,557,404","20,069,405","308,245 km2 (119,014 sq mi)",236/km2 (610/sq mi),931
5,6,Tamil Nadu,"72,147,030",15.60%,"37,229,590","34,917,440","130,058 km2 (50,216 sq mi)","555/km2 (1,440/sq mi)",996
6,7,Rajasthan,"68,548,437",21.30%,"51,500,352","17,048,085","342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928
7,8,Karnataka,"61,095,297",15.60%,"37,469,335","23,625,962","191,791 km2 (74,051 sq mi)",319/km2 (830/sq mi),973
8,9,Gujarat,"60,439,692",19.30%,"34,694,609","25,745,083","196,024 km2 (75,685 sq mi)",308/km2 (800/sq mi),919
9,10,Andhra Pradesh,"49,577,103",11.00%,"34,966,693","14,610,410","162,968 km2 (62,922 sq mi)",303/km2 (780/sq mi),993
10,11,Odisha,"41,974,218",14.00%,"34,970,562","7,003,656","155,707 km2 (60,119 sq mi)",269/km2 (700/sq mi),979
11,12,Telangana,"35,003,674",13.58%,"21,395,009","13,608,665","112,077 km2 (43,273 sq mi)",312/km2 (810/sq mi),988
12,13,Kerala,"33,406,061",4.90%,"17,471,135","15,934,926","38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)","1,084"
13,14,Jharkhand,"32,988,134",22.40%,"25,055,073","7,933,061","79,714 km2 (30,778 sq mi)","414/km2 (1,070/sq mi)",948
14,15,Assam,"31,205,576",17.10%,"26,807,034","4,398,542","78,438 km2 (30,285 sq mi)","397/km2 (1,030/sq mi)",954
15,16,Punjab,"27,743,338",13.90%,"17,344,192","10,399,146","50,362 km2 (19,445 sq mi)","550/km2 (1,400/sq mi)",895
16,17,Chhattisgarh,"25,545,198",22.60%,"19,607,961","5,937,237","135,191 km2 (52,198 sq mi)",189/km2 (490/sq mi),991
17,18,Haryana,"25,351,462",19.90%,"16,509,359","8,842,103","44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879
18,19,Uttarakhand,"10,086,292",18.80%,"7,036,954","3,049,338","53,483 km2 (20,650 sq mi)",189/km2 (490/sq mi),963
19,20,Himachal Pradesh,"6,864,602",12.90%,"6,176,050","688,552","55,673 km2 (21,495 sq mi)",123/km2 (320/sq mi),972
20,21,Tripura,"3,673,917",14.80%,"2,712,464","961,453","10,486 km2 (4,049 sq mi)",350/km2 (910/sq mi),960
21,22,Meghalaya,"2,966,889",27.90%,"2,371,439","595,450","22,429 km2 (8,660 sq mi)",132/km2 (340/sq mi),989
22,23,Manipur,"2,570,390",18.60%,"1,793,875","776,515","22,327 km2 (8,621 sq mi)",122/km2 (320/sq mi),992
23,24,Nagaland,"1,978,502",0.60%,"1,407,536","570,966","16,579 km2 (6,401 sq mi)",119/km2 (310/sq mi),931
24,25,Goa,"1,458,545",8.20%,"551,731","906,814","3,702 km2 (1,429 sq mi)","394/km2 (1,020/sq mi)",973
25,26,Arunachal Pradesh,"1,383,727",26.00%,"1,066,358","317,369","83,743 km2 (32,333 sq mi)",17/km2 (44/sq mi),938
26,27,Mizoram,"1,097,206",23.50%,"525,435","571,771","21,081 km2 (8,139 sq mi)",52/km2 (130/sq mi),976
27,28,Sikkim,"610,577",12.90%,"456,999","153,578","7,096 km2 (2,740 sq mi)",86/km2 (220/sq mi),890
28,NCT,Delhi,"16,787,941",21.20%,"419,042","16,368,899","1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868
29,UT1,Jammu and Kashmir,"12,267,032",23.60%,"9,064,220","3,202,812","125,535 km2 (48,469 sq mi)[d]",98/km2 (250/sq mi),890
30,UT2,Puducherry,"1,247,953",28.10%,"395,200","852,753",479 km2 (185 sq mi),"2,598/km2 (6,730/sq mi)","1,037"
31,UT3,Chandigarh,"1,055,450",17.20%,"28,991","1,026,459",114 km2 (44 sq mi),"9,252/km2 (23,960/sq mi)",818
32,UT4,Dadra and Nagar Haveli and Daman and Diu,"585,764",55.10%,"243,510","342,254",603 km2 (233 sq mi),"970/km2 (2,500/sq mi)",711
33,UT5,Andaman and Nicobar Islands,"380,581",6.90%,"237,093","143,488","8,249 km2 (3,185 sq mi)",46/km2 (120/sq mi),876
34,UT6,Ladakh,"274,000",17.80%,"43,840","230,160","96,701 km2 (37,336 sq mi)[e]",2.8/km2 (7.3/sq mi),853
35,UT7,Lakshadweep,"64,473",6.30%,"14,141","50,332",32 km2 (12 sq mi),"2,013/km2 (5,210/sq mi)",946
,,,,,,,,,
